You don't have FA3, But it's ok!
已处理 1000 行，成功 1000 行，失败 0 行
已处理 2000 行，成功 2000 行，失败 0 行
已处理 3000 行，成功 3000 行，失败 0 行
已处理 4000 行，成功 4000 行，失败 0 行
已处理 5000 行，成功 5000 行，失败 0 行
已处理 6000 行，成功 6000 行，失败 0 行
已处理 7000 行，成功 7000 行，失败 0 行
已处理 8000 行，成功 8000 行，失败 0 行
8464 失败！error=TextEncodeInput must be Union[TextInputSequence, Tuple[InputSequence, InputSequence]], id=8464
已处理 9001 行，成功 9000 行，失败 1 行
已处理 10001 行，成功 10000 行，失败 1 行
已处理 11001 行，成功 11000 行，失败 1 行
已处理 12001 行，成功 12000 行，失败 1 行
已处理 13001 行，成功 13000 行，失败 1 行
已处理 14001 行，成功 14000 行，失败 1 行
已处理 15001 行，成功 15000 行，失败 1 行
已处理 16001 行，成功 16000 行，失败 1 行
已处理 17001 行，成功 17000 行，失败 1 行
已处理 18001 行，成功 18000 行，失败 1 行
已处理 19001 行，成功 19000 行，失败 1 行
已处理 20001 行，成功 20000 行，失败 1 行
已处理 21001 行，成功 21000 行，失败 1 行
已处理 22001 行，成功 22000 行，失败 1 行
已处理 23001 行，成功 23000 行，失败 1 行
已处理 24001 行，成功 24000 行，失败 1 行
已处理 25001 行，成功 25000 行，失败 1 行
已处理 26001 行，成功 26000 行，失败 1 行
已处理 27001 行，成功 27000 行，失败 1 行
已处理 28001 行，成功 28000 行，失败 1 行
已处理 29001 行，成功 29000 行，失败 1 行
已处理 30001 行，成功 30000 行，失败 1 行
已处理 31001 行，成功 31000 行，失败 1 行
已处理 32001 行，成功 32000 行，失败 1 行
已处理 33001 行，成功 33000 行，失败 1 行
已处理 34001 行，成功 34000 行，失败 1 行
已处理 35001 行，成功 35000 行，失败 1 行
已处理 36001 行，成功 36000 行，失败 1 行
已处理 37001 行，成功 37000 行，失败 1 行
已处理 38001 行，成功 38000 行，失败 1 行
已处理 39001 行，成功 39000 行，失败 1 行
已处理 40001 行，成功 40000 行，失败 1 行
已处理 41001 行，成功 41000 行，失败 1 行
已处理 42001 行，成功 42000 行，失败 1 行
已处理 43001 行，成功 43000 行，失败 1 行
已处理 44001 行，成功 44000 行，失败 1 行
已处理 45001 行，成功 45000 行，失败 1 行
已处理 46001 行，成功 46000 行，失败 1 行
已处理 47001 行，成功 47000 行，失败 1 行
已处理 48001 行，成功 48000 行，失败 1 行
已处理 49001 行，成功 49000 行，失败 1 行
已处理 50001 行，成功 50000 行，失败 1 行
已处理 51001 行，成功 51000 行，失败 1 行
已处理 52001 行，成功 52000 行，失败 1 行
